kind,domain,votes,source,title,published_at,slug,currencies,id,url,created_at
news,dailyhodl.com,"{'negative': 0, 'positive': 7, 'important': 4, 'liked': 4, 'disliked': 0, 'lol': 1, 'toxic': 0, 'saved': 0, 'comments': 1}","{'title': 'The Daily Hodl', 'region': 'en', 'domain': 'dailyhodl.com', 'path': None}","$100,000,000,000 in TradFi Money Waiting for Bitcoin ETF Approval, Says Bloomberg Intelligence Analysts",2023-11-20T19:05:54Z,100000000000-in-TradFi-Money-Waiting-for-Bitcoin-ETF-Approval-Says-Bloomberg-Intelligence-Analysts,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",19051010,https://cryptopanic.com/news/19051010/100000000000-in-TradFi-Money-Waiting-for-Bitcoin-ETF-Approval-Says-Bloomberg-Intelligence-Analysts,2023-11-20 19:05:54+00:00
news,cryptobriefing.com,"{'negative': 0, 'positive': 10, 'important': 5, 'liked': 7, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 0}","{'title': 'CryptoBriefing', 'region': 'en', 'domain': 'cryptobriefing.com', 'path': None}","ARK Ignores SEC Advice, Refiles In-Kind Bitcoin Spot ETF",2023-11-20T15:39:10Z,ARK-Ignores-SEC-Advice-Refiles-In-Kind-Bitcoin-Spot-ETF,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",19050524,https://cryptopanic.com/news/19050524/ARK-Ignores-SEC-Advice-Refiles-In-Kind-Bitcoin-Spot-ETF,2023-11-20 15:39:10+00:00
news,u.today,"{'negative': 0, 'positive': 5, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}","XRP, BTC, ETH, ADA, SOL Funds Attract More Inflows: Report",2023-11-20T15:39:00Z,XRP-BTC-ETH-ADA-SOL-Funds-Attract-More-Inflows-Report,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",19050530,https://cryptopanic.com/news/19050530/XRP-BTC-ETH-ADA-SOL-Funds-Attract-More-Inflows-Report,2023-11-20 15:39:00+00:00
news,newsbtc.com,"{'negative': 6, 'positive': 10, 'important': 3, 'liked': 7, 'disliked': 6, 'lol': 6, 'toxic': 0, 'saved': 1, 'comments': 1}","{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None}",ADA Price (Cardano) Breaking This Confluence Resistance Could Restart Rally,2023-11-20T04:28:28Z,ADA-Price-Cardano-Breaking-This-Confluence-Resistance-Could-Restart-Rally,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}]",19049104,https://cryptopanic.com/news/19049104/ADA-Price-Cardano-Breaking-This-Confluence-Resistance-Could-Restart-Rally,2023-11-20 04:28:28+00:00
news,en.bitcoinsistemi.com,"{'negative': 1, 'positive': 35, 'important': 19, 'liked': 28, 'disliked': 1, 'lol': 3, 'toxic': 0, 'saved': 3, 'comments': 2}","{'title': 'en bitcoinsistemi', 'region': 'en', 'domain': 'en.bitcoinsistemi.com', 'path': None}","JUST IN: Pro-Bitcoin Candidate Javier Milei Wins Election in Argentina, BTC Breaks $37,000",2023-11-19T23:40:06Z,JUST-IN-Pro-Bitcoin-Candidate-Javier-Milei-Wins-Election-in-Argentina-BTC-Breaks-37000,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",19048931,https://cryptopanic.com/news/19048931/JUST-IN-Pro-Bitcoin-Candidate-Javier-Milei-Wins-Election-in-Argentina-BTC-Breaks-37000,2023-11-19 23:40:06+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 4, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",3 lessons I have learned from the Bitcoin Standard,2023-11-18T11:20:40Z,3-lessons-I-have-learned-from-the-Bitcoin-Standard,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",19047131,https://cryptopanic.com/news/19047131/3-lessons-I-have-learned-from-the-Bitcoin-Standard,2023-11-18 11:20:40+00:00
news,finbold.com,"{'negative': 0, 'positive': 4, 'important': 4, 'liked': 4, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 4, 'comments': 4}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Bitcoin set for parabolic rally ‘in a matter of weeks’ as halving phase begins,2023-11-18T09:22:41Z,Bitcoin-set-for-parabolic-rally-in-a-matter-of-weeks-as-halving-phase-begins,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",19046969,https://cryptopanic.com/news/19046969/Bitcoin-set-for-parabolic-rally-in-a-matter-of-weeks-as-halving-phase-begins,2023-11-18 09:22:41+00:00
news,finbold.com,"{'negative': 0, 'positive': 5, 'important': 4, 'liked': 5, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 5, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",How to effectively trade the upcoming Solana rally,2023-11-18T07:24:47Z,How-to-effectively-trade-the-upcoming-Solana-rally,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",19046832,https://cryptopanic.com/news/19046832/How-to-effectively-trade-the-upcoming-Solana-rally,2023-11-18 07:24:47+00:00
news,newsbtc.com,"{'negative': 6, 'positive': 8, 'important': 3, 'liked': 6, 'disliked': 4, 'lol': 4, 'toxic': 0, 'saved': 0, 'comments': 0}","{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None}",Cardano Falling Wedge Pattern: Analyst Predicts 100% Increase Following Breakout,2023-11-17T23:00:59Z,Cardano-Falling-Wedge-Pattern-Analyst-Predicts-100-Increase-Following-Breakout,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}, {'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}]",19046484,https://cryptopanic.com/news/19046484/Cardano-Falling-Wedge-Pattern-Analyst-Predicts-100-Increase-Following-Breakout,2023-11-17 23:00:59+00:00
news,cryptobriefing.com,"{'negative': 1, 'positive': 12, 'important': 8, 'liked': 7, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 0}","{'title': 'CryptoBriefing', 'region': 'en', 'domain': 'cryptobriefing.com', 'path': None}",SEC Advises Bitcoin ETF Firms on Cash Creations to Address Broker Concerns,2023-11-17T17:47:21Z,SEC-Advises-Bitcoin-ETF-Firms-on-Cash-Creations-to-Address-Broker-Concerns,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",19045928,https://cryptopanic.com/news/19045928/SEC-Advises-Bitcoin-ETF-Firms-on-Cash-Creations-to-Address-Broker-Concerns,2023-11-17 17:47:21+00:00
