Date,Summary,Label,Confidence,URL,Logits
2024-01-14 08:18:00+00:00,"In a recent post on X, pro-Bitcoin advocate “InvestAnswers” unveiled a startling revelation about BlackRock’s substantial Bitcoin acquisitions, sparking concerns of a looming supply crunch. According to the post, BlackRock, one of the world’s largest asset management firms, absorbed a staggering...",negative,0.5384324193000793,https://cryptopanic.com/news/19174301/BlackRock-Drains-13-Days-BTC-Worth-Triggering-Supply-Crunch-Worries,"[0.4622049629688263, 0.7177150845527649, -1.7745559215545654]"
2024-01-13 18:21:46+00:00,"Despite the recent launch of ten Bitcoin ETFs, bitcoin dips below $43,000 amid market corrections; experts stay hopeful for its recovery.",negative,0.961973249912262,https://cryptopanic.com/news/19173724/Bitcoin-Drops-Below-43000-Experts-Call-it-a-Chance-to-Buy-Cheap,"[-1.0620654821395874, 2.6405134201049805, -1.5678907632827759]"
2024-01-13 09:20:41+00:00,"Buyer exhaustion and increased selling pressure could lead BTC to $40,500. A breakdown below the 50 EMA may accelerate the dump below $40,000. If buyers rebound the price to $45,000, then BTC might rally to $52,000 later. Bitcoin’s (BTC) plunge in the last 24 hours might not be the end of its...",negative,0.8495494723320007,https://cryptopanic.com/news/19172971/Bitcoin-BTC-Is-Likely-to-Fall-Below-42000-Heres-Why,"[-0.6449654698371887, 1.593395471572876, -1.0592964887619019]"
2024-01-12 23:16:14+00:00,"In a Fox Business interview, the former Bitcoin skeptic defended the cryptocurrency as a shield against government manipulation and economic instability.",neutral,0.7164819836616516,https://cryptopanic.com/news/19172520/Bitcoin-Is-Bigger-Than-Any-Government-BlackRock-CEO-Larry-Fink,"[-0.5801119208335876, -0.1482725590467453, 1.2791639566421509]"
2024-01-12 22:15:00+00:00,Bitcoin price dropped by nearly 7% just two days after the spot ETF approvals. Cointelegraph investigates why BTC price is correcting.,negative,0.9695088863372803,https://cryptopanic.com/news/19172436/Bitcoin-price-sells-off-after-ETF-approval-Have-investors-turned-bearish,"[-1.6878100633621216, 2.908766269683838, -0.9372920393943787]"
2024-01-12 19:35:00+00:00,BlackRock's CEO Larry Fink has endorsed cryptocurrency as a transformative asset class amidst speculations surrounding an Ethereum ETF.,positive,0.8124904632568359,https://cryptopanic.com/news/19172175/Ethereum-ETF-Hype-Surges-as-BlackRock-CEO-Endorses-the-Asset,"[1.583227515220642, -2.305650472640991, 0.024080190807580948]"
2024-01-12 16:38:21+00:00,"The world of cryptocurrency is buzzing with anticipation as Ethereum (ETH) eyes its next big leap. Following the historic nod from the U.S. Securities and Exchange Commission (SEC) for 11 Bitcoin Exchange Traded Funds (ETFs) earlier, the focus has now shifted to Ethereum. The potential for an...",positive,0.73899245262146,https://cryptopanic.com/news/19171778/Ethereum-ETF-coming-in-4-months-Experts-think-so,"[1.561967372894287, -2.719766139984131, 0.481317937374115]"
2024-01-12 11:46:02+00:00,BlackRock CEO Larry Fink recently expressed a keen interest in an Ethereum ETF (exchange-traded fund). This announcement comes at a time when cryptocurrency markets are increasingly gaining mainstream acceptance. Growing Interest In Spot Ethereum ETFs Fink’s endorsement highlights Ethereum’s...,positive,0.6687675714492798,https://cryptopanic.com/news/19170752/BlackRock-CEO-Larry-Fink-Shows-Interest-in-Spot-Ethereum-ETFs,"[1.577412486076355, -2.7807276248931885, 0.8486083149909973]"
2024-01-12 09:53:28+00:00,"Even after a record $4.6 billion Bitcoin ETF launch in the US, Bitcoin's price remains stable at around $46,000, surprising many followers.",positive,0.8761513829231262,https://cryptopanic.com/news/19170496/Bitcoin-Investors-Question-Bitcoin-Performance-Despite-ETF-News,"[1.4776079654693604, -1.8229790925979614, -0.7810201048851013]"
2024-01-12 01:09:47+00:00,US investment app Robinhood said today that all 11 spot bitcoin ETFs are available for clients with retirement and brokerage accounts.,neutral,0.9088823795318604,https://cryptopanic.com/news/19169729/Robinhood-lists-all-11-spot-bitcoin-ETFs-on-trading-app,"[-0.03689012676477432, -2.1747002601623535, 2.3746371269226074]"
2024-01-11 12:45:20+00:00,"Widely followed economist Alex Krüger believes investor interest could soon shift from Bitcoin (BTC) to Ethereum (ETH). The analyst tells his 162,000 followers on the social media platform X that he believes Bitcoin has topped out and Ethereum will start to outperform Bitcoin (ETH/BTC). He says...",positive,0.9172362685203552,https://cryptopanic.com/news/19167787/Economist-Alex-Kruger-Warns-That-Bitcoin-Upside-Is-Clearly-Capped-Says-Its-Time-for-Ethereum-To-Take-Over,"[1.8700705766677856, -2.335087537765503, -0.7160288095474243]"
2024-01-11 12:30:26+00:00,"Crypto asset investment products started the year on a positive note, with Cardano making a comeback despite going on a price decline last week. According to the latest digital asset fund flow from CoinShares, crypto products saw total inflows of $151 million in the first week of 2024. ...",positive,0.9374579191207886,https://cryptopanic.com/news/19167724/Is-Cardano-The-Next-Solana-Institutional-Investors-Clamor-For-ADA-Exposure,"[1.8605276346206665, -1.4385037422180176, -1.6528645753860474]"
2024-01-11 11:36:37+00:00,"Ethereum Price Peaks Post US Bitcoin ETF Approval; Ethereum ETF May Soon Follow, Says Analysts.",positive,0.8107779026031494,https://cryptopanic.com/news/19167580/Ethereum-Price-Rises-Amid-Ethereum-Spot-ETF-Speculations,"[1.5705922842025757, -2.5085790157318115, 0.04025130346417427]"
2024-01-11 10:48:35+00:00,"US Politicians Invests in Crypto Ahead of SEC's Bitcoin ETF Approval, Sparking Talks of an Ethereum ETF Soon.",neutral,0.5477553009986877,https://cryptopanic.com/news/19167450/US-Politicians-Turn-To-Crypto-Investments-Amid-ETF-Approval,"[0.7587505578994751, -2.072493553161621, 1.007623553276062]"
2024-01-11 08:11:41+00:00,Elon Musk reconsiders Bitcoin on Mars! Could a Lightning Network solve the transaction speed issue? Find out more.,neutral,0.8693023920059204,https://cryptopanic.com/news/19167057/Elon-Musk-Considers-Bitcoin-as-a-Payment-Method-on-Mars,"[0.06866815686225891, -2.088735580444336, 2.072887897491455]"
2024-01-11 08:04:56+00:00,The founder and CEO of SkyBridge Capital Anthony Scaramucci believes that the total market capitalization of Bitcoin (BTC) could rise more than 13-fold from the current level. Scaramucci says in a new CNBC interview that BTC’s total market cap stands to potentially equal that of Bitcoin with the...,positive,0.9477939009666443,https://cryptopanic.com/news/19167017/12000000000000-Bitcoin-Market-Cap-Incoming-Predicts-Anthony-Scaramucci-Heres-the-Timeline,"[1.9713836908340454, -2.0843935012817383, -1.3051302433013916]"
2024-01-11 04:52:06+00:00,"Elon Musk, in conversation with Ark Invest CEO Cathie Wood on Wednesday, shared his thoughts on the use of Bitcoin (CRYPTO: BTC). read more",neutral,0.9425050616264343,https://cryptopanic.com/news/19166738/Musk-Open-To-The-Idea-Of-Using-Bitcoin-On-X-Reveals-Personal-And-SpaceX-Crypto-Holdings,"[-0.8967097401618958, -1.07463800907135, 2.5082695484161377]"
2024-01-11 00:31:02+00:00,"Spot Bitcoin ETFs will start trading Thursday, but one crypto-friendly SEC Commissioner says it's a day far too long in coming.",negative,0.5361924171447754,https://cryptopanic.com/news/19166463/SEC-Squandered-a-Decade-Rejecting-Bitcoin-ETFs-Commissioner-Hester-Peirce,"[-1.4846606254577637, 1.1800968647003174, 0.951168954372406]"
2024-01-11 00:19:18+00:00,"After roughly four years of following the Nasdaq-100 (NDX), Bitcoin has decoupled from its 40-day correlation with the index going to zero, signifying independence from the equity index strongly dominated by tech firms.The Nasdaq-100 stock market index tracks the performance of 101 stocks in the...",positive,0.5167782306671143,https://cryptopanic.com/news/19166443/Bitcoin-decouples-from-the-Nasdaq-100-for-the-first-time-after-four-years,"[0.3246825337409973, -0.6340247392654419, -0.2701084315776825]"
